code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
MGZ,12.4458,98.625,Mergui Airport,Mergui,Tenasserim,Myanmar,12510923,Asia/Rangoon,,Airports,,,5000,73,,3,1
MHD,36.2358,59.6392,Mashhad Airport,Mashhad,Khorasan,Iran,12513744,Asia/Tehran,,Airports,,,12497,3263,,28,11
MHG,49.4762,8.52105,Mannheim City Airport,Mannheim,Baden-Wurttemberg,Germany,22243020,Europe/Berlin,,Airports,,,3281,309,,7,3
MHH,26.5111,-77.0847,Marsh Harbour Airport,Marsh Harbour,Central Abaco,Bahamas,12510872,America/Nassau,,Airports,,,5000,10,,7,6
MHK,39.1368,-96.6699,Manhattan Municipal Airport,Manhattan,Kansas,United States,12520775,America/Chicago,,Airports,,,7000,1056,KMHK,5,3
MHP,53.8713,27.5352,Minsk International 1,Minsk,Minskaya Voblasts',Belarus,12510966,Europe/Minsk,,Airports,,,,,KMHP,1,1
MHQ,60.1249,19.9075,Mariehamn Airport,Maarianhamina,Aland Islands,Finland,12512784,Europe/Helsinki,,Airports,,,6234,17,,2,1
MHR,38.5646,-121.297,Mather Airport,Mather,California,United States,12521692,America/Los_Angeles,,Military Airport,,,,,KMHR,5,1
MHT,42.9293,-71.4386,Manchester-Boston Regional Airport,Manchester,New Hampshire,United States,12520772,America/New_York,,Airports,,,7001,234,KMHT,20,16
MIA,25.7953,-80.2727,Miami International Airport,Miami,Florida,United States,12520923,America/New_York,(305) 876-7000,Airports,customerservice@miami-airport.com,http://www.miami-airport.com,13000,11,KMIA,167,91
MID,20.9361,-89.6575,Lic M Crecencio Rejon International Airport,Mérida,Yucatan,Mexico,12514912,America/Mexico_City,,Airports,,,8858,34,MMMD,8,21
MIG,31.4833,104.733,Mian Yang,Mian Yang,Sichuan,China,2158439,Asia/Shanghai,,Airports,,,,,,3,4
MII,-22.1953,-49.9261,Dr Gastao Vidigal Airport,Marilia,Sao Paulo,Brazil,12511229,America/Sao_Paulo,,Airports,,,4921,2093,,3,1
MIM,-36.9081,149.903,Merimbula Aerodrome,Merimbula,New South Wales,Australia,12523173,Australia/Sydney,,Airports,,,5255,7,,3,1
MIR,35.7611,10.7556,Habib Bourguiba International Airport,Sidi al Ghudamisi,Al Munastir,Tunisia,12517860,Africa/Tunis,+216 (0)73 521.300,Airports,,http://www.oaca.nat.tn,9678,9,,31,10
MIS,46.2127,11.9079,Saint Aignan Island,Misima Island,Milne Bay,Papua New Guinea,12498877,Pacific/Port_Moresby,,Airports,,,3020,20,,3,1
MJA,-23.3548,43.6631,Toliara,Manja,Toliara,Madagascar,1364703,Indian/Antananarivo,,Airports,,,5249,787,,2,1
MJD,27.3364,68.1417,Moenjodaro Airport,Mohenjodaro,Sindh,Pakistan,12515250,Asia/Karachi,,Airports,,,6512,167,KMJD,1,1
MJF,65.7833,13.2167,Kjaerstad Airport,Mosjoen,Nordland Fylke,Norway,12523941,Europe/Oslo,,Airports,,,,,,6,1
MJI,26.3385,17.2688,Libya,Mitiga,,Libya,23424882,Africa/Tripoli,,Airports,,,,,HLLM,2,1
MJK,-25.8881,113.578,Shark Bay Airport,Monkey Mia,Western Australia,Australia,12523287,Australia/Perth,,Airports,,,,,,5,1
MJL,-1.56087,11.1955,Ngounie,Mouila,Ngounie,Gabon,2345452,Africa/Libreville,,Airports,,,5906,295,,1,1
MJM,-6.1214,23.5697,Mbuji Mayi Airport,Mbuji Mayi,Democratic Republic of,Congo,12511972,Africa/Lubumbashi,,Airports,,,6562,2221,,3,3
MJN,-15.6658,46.3531,Mahajanga Amborovy Airport,Mahajanga,Mahajanga,Madagascar,12514698,Indian/Antananarivo,,Airports,,,7218,85,,10,3
MJT,39.0606,26.5981,Mitilini Airport,Mitilini,Voreio Aigaio,Greece,12513313,Europe/Athens,,Airports,,,6476,57,,10,4
MJV,37.7697,-0.82098,Murcia San Javier Airport,San Javier,Murcia,Spain,12517559,Europe/Madrid,,Airports,,,7546,11,LELC,29,9
MJZ,62.5168,113.973,Mirnyy,Mirnyj,Sakha,Russia,2046493,Asia/Yakutsk,,Airports,,,,,,3,2
MKC,39.1197,-94.5906,Kansas City Downtown Airport,Kansas City,Missouri,United States,12520419,America/Chicago,,Other Airport,,,7001,758,KMKC,2,1
MKE,42.9471,-87.9051,General Mitchell International Airport,Milwaukee,Wisconsin,United States,12519880,America/Chicago,,Airports,,,9690,723,KMKE,59,30
MKG,43.1646,-86.2367,Muskegon County Airport,Muskegon,Michigan,United States,12521071,America/New_York,,Airports,,,6501,628,KMKG,3,5
MKK,21.1557,-157.094,Molokai Airport,Hoolehua,Hawaii,United States,12520984,Pacific/Honolulu,,Airports,,,4494,454,PHMK,3,7
MKM,2.91165,112.609,Sarawak,Mukah,Sarawak,Malaysia,2346305,Asia/Kuala_Lumpur,,Airports,,,2460,5,,2,1
MKP,-16.5978,-143.662,Makemo Airport,Makemo,Tuamotu-Gambier,French Polynesia,12512824,Pacific/Gambier,,Airports,,,4921,3,,5,1
MKQ,-8.5183,140.422,Mopah Airport,Merauke,Irian Jaya,Indonesia,12513484,Asia/Jayapura,,Airports,,,6070,10,,1,1
MKR,-26.6091,118.551,Meekatharra Airport,Kumarina,Western Australia,Australia,12510731,Australia/Perth,,Airports,,,7150,1712,,3,1
MKU,0.5792,12.8922,Makokou Airport,Makokou,Ogooue-Ivindo,Gabon,12512995,Africa/Libreville,,Airports,,,5905,1726,,1,1
MKW,-0.8911,134.051,Rendani Airport,Manokwari,West Irian Jaya,Indonesia,12513500,Asia/Jayapura,,Airports,,,4593,15,,1,1
MKY,-21.1703,149.183,Mackay Airport,Mackay,Queensland,Australia,12510724,Australia/Brisbane,,Airports,,,6500,19,YBMK,5,5
MLA,35.8586,14.4781,Luqa Airport,Curmi,South Eastern,Malta,12514808,Europe/Malta,00356 2124 9600,Airports,,http://www.maltairport.com,11627,300,LMML,56,35
MLB,28.0957,-80.6282,Melbourne International Airport,Melbourne,Florida,United States,12520889,America/New_York,321-723-6227,Airports,info@mlbair.com,http://www.mlbair.com,10181,35,KMLB,1,5
MLE,4.167,73.4974,Male International Airport,Male,Maale,Maldives,12514816,Indian/Maldives,,Airports,,,9318,4,KMLE,27,22
MLG,-7.98189,112.627,Malang,Malang,Jawa Timur,Indonesia,1047846,Asia/Jakarta,,Airports,,,6398,1726,,1,1
MLH,47.5998,7.53134,Bale Mulhouse Airport,Basel Mulhouse Freiburg,Alsace,France,12512851,Europe/Zurich,,Airports,,http://www.euroairport.com,12795,883,LFSB,12,13
MLI,41.4539,-90.5058,Quad City Airport,Coal Valley,Illinois,United States,12521505,America/Chicago,,Airports,,,6507,589,KMLI,11,14
MLL,61.8833,-162.067,Marshall,Marshall,Alaska,United States,12799653,America/Anchorage,,Airports,,,1762,90,,3,3
MLM,19.8464,-101.029,General Francisco J Mujica Airport,Álvaro Obregón,Michoacan de Ocampo,Mexico,12514879,America/Mexico_City,,Airports,,,4921,6234,MMMM,8,8
MLN,35.2825,-2.9569,Melilla Airport,Melilla,Melilla Province,Spain,12517556,Africa/Ceuta,,Airports,,,3543,154,,8,1
MLO,36.7137,24.5118,Milos Island Airport,Apollonia,Notio Aigaio,Greece,12513312,Europe/Athens,,Airports,,,2625,12,,1,1
MLU,32.5099,-92.044,Monroe Regional Airport,Monroe,Louisiana,United States,12520996,America/Chicago,,Airports,,,7507,79,KMLU,4,6
MLW,6.2897,-10.7581,Monrovia Spriggs Payne Airport,Monrovia,Montserrado,Liberia,12514602,Africa/Monrovia,,Airports,,,5997,25,,2,3
MLX,38.435,38.0911,Erhac Airport,Arga,Malatya,Turkey,12517885,Europe/Istanbul,,Airports,,,7600,3016,,4,2
MLY,64.9812,-150.637,Manley Hot Springs,Manley Hot Springs,Alaska,United States,2444846,America/Anchorage,,Airports,,,2760,270,PAML,1,1
MMB,43.8814,144.163,Memanbetsu Airport,Ozora-cho,Hokkaido Prefecture,Japan,12523175,Asia/Tokyo,,Airports,,,6560,122,,5,3
MME,54.5116,-1.43475,Durham Tees Valley Airport,Darlington,England,United Kingdom,22461793,Europe/London,+44 1325 332811,Airports,,http://www.durhamteesvalleyairport.com/,,,EGNV,14,26
MMG,-24.4378,121.079,Western Australia,Mount Magnet,Western Australia,Australia,2344706,Australia/Perth,,Airports,,,5030,1350,,2,1
MMH,37.6288,-118.844,Mammoth June Lakes Airport,Mammoth Lakes,California,United States,12520768,America/Los_Angeles,,Other Airport,,,7000,7128,KMMH,1,2
MMK,68.7794,32.7434,Murmashi Airport,Apatity,Murmanskaya Oblast,Russia,12516460,Europe/Moscow,,Airports,,,,,KMMK,8,6
MMO,15.2209,-23.1762,Maio Airport,Vila do Maio,Maio,Cape Verde,12512492,Atlantic/Cape_Verde,,Airports,,,4593,170,,1,1
MMX,55.5406,13.3666,Sturup Airport,Svedala,Skane,Sweden,23318094,Europe/Stockholm,,Airports,,http://www.lfv.se/templates/LFV_AirportStartPage____4125.aspx,9186,236,ESMS,22,12
MMY,24.7824,125.295,Miyako Airport,Miyako Jima,Iwate Prefecture,Japan,12513990,Asia/Tokyo,,Airports,,,6560,149,,4,2
MNF,-17.6611,177.119,Mana Island Airstrip,Mana Island,Western,Fiji,2345338,Pacific/Fiji,,Airports,,,,,KMNF,1,1
MNG,-12.06,134.233,Maningrida Airport,Maningrida,Northern Territory,Australia,12510727,Australia/Darwin,,Airports,,,5000,112,,3,1
MNJ,-21.2017,48.3583,Mananjary Airport,Mananjary,Fianarantsoa,Madagascar,12514701,Indian/Antananarivo,,Airports,,,4921,20,,2,1
MNL,14.5114,121.016,Ninoy Aquino International Airport,Parañaque,National Capital Region,Philippines,12515637,Asia/Manila,,Airports,,,11004,75,RPLL,77,35
MNT,65.1987,-149.53,Minto,Minto,Alaska,United States,2452225,America/Anchorage,,Airports,,,1800,328,,1,1
MNU,16.4417,97.6694,Moulmein Airport,Moulmein,Mon State,Myanmar,12510926,Asia/Rangoon,,Airports,,,5300,149,,3,1
MOA,38.5702,-109.553,,Moa,Holguin,Cuba,65544,America/Havana,,Airports,,,5580,16,,1,1
MOB,30.6775,-88.243,Mobile Regional Airport,Mobile,Alabama,United States,12518752,America/Chicago,,Airports,,,8527,218,KMOB,11,15
MOC,-16.7044,-43.8203,Montes Claros Airport,Montes Claros,Minas Gerais,Brazil,12511238,America/Sao_Paulo,,Airports,,,6890,2192,,2,2
MOD,37.6319,-120.959,Modesto City County Airport-Harry Sham Field,Modesto,California,United States,12520978,America/Los_Angeles,,Airports,,,5911,97,KMOD,1,2
MOF,-8.6381,122.24,Wai Oti Airport,Maumere,Nusa Tengarra Timur,Indonesia,12513521,Asia/Makassar,,Airports,,,4947,115,,2,2
MOG,37.3729,-87.1361,,Mong Hsat,Rakhine State,Myanmar,1017865,Asia/Rangoon,,Airports,,,5000,1875,,1,1
MOI,-19.8167,-157.717,,Mitiaro Island,Mitiaro,Cook Islands,24549667,Pacific/Rarotonga,,Airports,,,3000,25,,1,1
MOL,62.7466,7.26397,Aro Airport,Bolsøya,More og Romsdal,Norway,12515101,Europe/Oslo,,Airports,,,5249,10,ENML,3,1
MOQ,-20.2836,44.3183,Morondava Airport,Morondava,Toliara,Madagascar,12514705,Indian/Antananarivo,,Airports,,,4921,23,,5,1
MOT,48.2554,-101.291,Minot International Airport,Minot,North Dakota,United States,12520968,America/Chicago,,Airports,,,7493,1715,KMOT,1,4
MOU,62.0833,-163.733,Mountain Village,Mountain Village,Alaska,United States,12799686,America/Anchorage,,Airports,,,2214,165,PAMO,2,2
MOV,-22.0574,148.077,Moranbah Airport,Moranbah,Queensland,Australia,28677683,Australia/Brisbane,,Airports,,,3200,565,,1,1
MOZ,-17.5328,-149.839,Society Islands Airport,Papeete,Windward Islands,French Polynesia,12512831,Pacific/Tahiti,,Airports,,,2887,10,,4,1
MPA,-17.6342,24.1806,Mpacha Airport,Mpacha,,Namibia,12522982,Africa/Windhoek,,Airports,,,7500,3230,,1,1
MPH,11.9,121.917,Malay,Caticlan,Western Visayas,Philippines,23424934,Asia/Manila,,Airports,,,3281,7,,5,5
MPL,43.5807,3.96039,Frejorgues Airport,Mauguio,Languedoc-Roussillon,France,12512897,Europe/Paris,+33 (0) 4 67 20 85,Airports,,http://www.montpellier.aeroport.fr/,8530,16,LFMT,16,15
MPM,-25.9211,32.5694,Maputo Airport,Maputo,Maputo,Mozambique,12515021,Africa/Maputo,,Airports,,,11910,131,,14,7
MPN,-51.8222,-58.4417,Mount Pleasant Airport,Mount Pleasant,East Falkland,Falkland Islands,12512813,Atlantic/Stanley,,Airports,,,8497,244,EGYP,3,2
MQF,53.45,59.0667,Magnitogorsk,Chelyabinsk,Chelyabinskaya Oblast,Russian Federation,24553463,Asia/Yekaterinburg,,Airports,,,,,,3,3
MQL,-34.2308,142.084,Mildura Airport,Mildura,Victoria,Australia,12510736,Australia/Melbourne,,Airports,,,4852,163,YMIA,2,3
MQM,37.2233,40.6317,Mardin,Mardin,Mardin,Turkey,2329522,Europe/Istanbul,,Airports,,,,,,2,1
MQN,66.3643,14.3035,Rossvoll Airport,Skonseng,Nordland Fylke,Norway,12523942,Europe/Oslo,,Airports,,,2624,228,,6,1
MQP,-25.5,30.9167,Nelspruit Airport,Nelspruit,,South Africa,12523191,Africa/Johannesburg,,Airports,,,,,,4,3
MQT,46.3501,-87.3871,Sawyer International Airport,Marquette,Michigan,United States,12520411,America/New_York,,Airports,,,6500,1419,KSAW,5,6
MQX,13.4667,39.5167,,Makale,Tigray,Ethiopia,1318717,Africa/Addis_Ababa,,Airports,,,10500,7320,,2,1
MRA,32.3325,15.0617,Misurata Airport,Misratah,Misratah,Libya,12514660,Africa/Tripoli,,Airports,,,10980,60,,1,1
MRD,8.5853,-71.1597,Alberto Carnevalli Airport,Ejido,Mérida,Venezuela,12522751,America/Caracas,,Airports,,,5348,5007,,1,1
MRE,-1.3944,35.0089,Mara Serena Airport,Mara Lodges,Rift Valley,Kenya,12514071,Africa/Nairobi,,Airports,,,2700,5600,,4,2
MRS,43.4411,5.22087,Marignane Airport,Marignane,Provence-alpes-cote d'Azur,France,12512931,Europe/Paris,,Airports,,,11483,69,LFML,81,51
MRU,-20.4272,57.6767,Plaisance International Airport,Mahebourg,Grand Port,Mauritius,12514796,Indian/Mauritius,,Airports,,,8498,186,FIMP,30,18
MRV,44.2026,43.1352,Mineral'nyye Vody,Mineralnye Vody,Stavropolrskiy Kray,Russia,2046335,Europe/Volgograd,,Airports,,,,,URMM,19,14
MRY,36.5872,-121.851,Monterey Peninsula Airport,Monterey,California,United States,12521001,America/Los_Angeles,,Airports,,,6597,244,KMRY,8,15
MRZ,-29.494,149.851,Moree Airport,Moree,New South Wales,Australia,12510741,Australia/Sydney,,Airports,,,5300,701,,1,1
MSA,53.8333,-92,Muskrat Dam,Muskrat Dam,Ontario,Canada,2646,America/Winnipeg,,Airports,,,,,,3,1
MSE,51.3448,1.35733,Kent International Airport,Manston,England,United Kingdom,22484617,Europe/London,,Airports,,,9029,178,GMSH,1,1
MSJ,40.7053,141.361,Misawa Airport,Misawa-shi,Aomori Prefecture,Japan,12523178,Asia/Tokyo,,Airports,,,10000,119,,2,1
MSL,34.7439,-87.6185,Muscle Shoals Regional Airport,Muscle Shoals,Alabama,United States,12521070,America/Chicago,,Airports,,,6693,550,KMSL,2,3
MSN,43.1351,-89.3465,Dane County Regional Airport-Truax Field,Madison,Wisconsin,United States,12519407,America/Chicago,,Airports,,,9005,862,KMSN,18,20
MSO,46.9192,-114.084,Missoula International Airport,Missoula,Montana,United States,12520974,America/Denver,,Airports,,,9499,3201,KMSO,8,11
MSP,44.8793,-93.1987,Minneapolis St Paul International Airport,St. Paul,Minnesota,United States,12520966,America/Chicago,,Airports,,http://mspairport.com,11006,841,KMSP,171,41
MSQ,53.8873,28.0344,Velikiydvor Airport,Minsk,Minskaya Voblasts',Belarus,12510995,Europe/Minsk,,Airports,,,6562,742,UMMS,28,17
MSR,38.7472,41.6589,Mus Airport,Mush,Muş,Turkey,12517909,Europe/Istanbul,,Airports,,,,,,2,1
MSS,44.9326,-74.8535,Massena International Airport,Massena,New York,United States,12521580,America/New_York,,Airports,,,5001,214,KMSS,1,1
MST,50.9157,5.76967,Maastricht Airport,Maastricht-Airport,Limburg,Netherlands,12515090,Europe/Amsterdam,,Airports,,,8202,375,EHBK,8,10
MSU,-29.4581,27.5556,Maseru Moshoeshoe Airport,Maseru,Maseru,Lesotho,12514633,Africa/Maseru,,Airports,,,4500,5105,,1,1
MSW,15.6,39.4333,Massawa,Massawa,Semien-Keih-Bahri,Ethiopia,1312462,Africa/Asmara,,Airports,,,6201,37,,1,1
MSY,29.983,-90.2569,New Orleans International Airport,Kenner,Louisiana,United States,12521116,America/Chicago,,Airports,,http://www.flymsy.com,,4,KMSY,41,44
MSZ,-15.1972,12.1551,Namibe,Namibe,Namibe,Angola,1262954,Africa/Luanda,,Airports,,,8284,210,,3,1
MTJ,38.5003,-107.899,Montrose Regional Airport,Montrose,Colorado,United States,12521012,America/Denver,,Airports,,,8497,5759,KMTJ,8,8
MTM,55.1333,-131.583,Metlakatla Sea Plane Base,Metlakatla,Alaska,United States,2449920,America/Juneau,,Airports,,,,,,1,3
MTR,8.8306,-75.8247,Los Garzones Airport,Los Garzones,Cordoba,Colombia,12512392,America/Bogota,,Airports,,,6132,36,,4,4
MTS,-26.5204,31.3146,Matsapa International Airport,Manzini,Manzini,Swaziland,12522997,Africa/Mbabane,,Airports,,,8530,2075,,1,1
MTT,18.0833,-94.5961,Minatitlan Airport,Minatitlan,,Mexico,12514920,America/Mexico_City,,Airports,,,6217,90,MMMT,1,2
MTV,-13.8167,167.7,Mota Lava,Mota Lava,Torba,Vanuatu,1050899,Pacific/Efate,,Airports,,,2950,63,KMTV,2,1
MTY,25.7783,-100.107,Gen Mariano Escobedo International Airport,Pesquería,Nuevo Leon,Mexico,12514877,America/Monterrey,,Airports,,,9843,1269,MMMY,31,24
MUA,-8.3272,157.261,Munda Airport,Munda,Western,Solomon Islands,12511007,Pacific/Noumea,,Airports,,,4593,10,,3,1
MUB,-19.9708,23.4306,Maun Airport,Maun,Ngamiland,Botswana,12510837,Africa/Gaborone,,Airports,,,6562,3101,,4,2
MUC,48.354,11.7816,Franz-Josef-Strauss Airport,Oberding,Bavaria,Germany,22923040,Europe/Berlin,,Airports,,http://www.munich-airport.de/,13100,1737,EDDM,213,95
MUE,19.9983,-155.675,Waimea Kohala Airport,Kamuela,Hawaii,United States,12522305,Pacific/Honolulu,,Airports,,,5200,2671,PHMU,4,2
MUH,31.3253,27.2208,Mersa Matruh Airport,Marsa Matruh,Matruh,Egypt,12512698,Africa/Cairo,,Airports,,,10500,94,,3,2
MUK,-20.1333,-157.35,Mauke Island,Mauke Island,Atiu,Cook Islands,24549674,Pacific/Rarotonga,,Airports,,,3107,90,,1,1
MUN,9.7514,-63.1528,Maturin Airport,Aguasay,Monagas,Venezuela,12522819,America/Caracas,,Airports,,,6890,224,,2,2
MUR,4.175,114.33,Marudi Airport,Miri,Sarawak,Malaysia,12515002,Asia/Kuala_Lumpur,,Airports,,,3000,103,,6,1
MUX,30.2028,71.4181,Multan Airport,Multan,Punjab,Pakistan,12515251,Asia/Karachi,,Airports,,,9000,400,,5,3
MUZ,-1.77227,33.9811,Mara,Musoma,Mara,Tanzania,2347359,Africa/Dar_es_Salaam,,Airports,,,5250,3778,,2,1
MVB,-1.6569,13.4397,Franceville Mvengue Airport,Franceville,Haut-Ogooue,Gabon,12512992,Africa/Libreville,,Airports,,,10105,1447,,1,3
MVD,-34.8291,-56.0323,Carrasco International Airport,Montevideo,Montevideo,Uruguay,12522559,America/Montevideo,,Airports,,,8858,105,SUMU,13,14
MVP,1.13333,-70.05,Mitu Airport,Mitu,Vaupes,Colombia,12523635,America/Bogota,,Airports,,,4921,680,,1,1
MVR,10.4533,14.2564,Maroua Salak Airport,Maroua,Extreme-Nord,Cameroon,12512351,Africa/Douala,,Airports,,,6890,1391,,2,2
MVS,-18.0492,-39.8653,Aeroporto Max Feffer,Mucuri,Nordeste,Brazil,456351,America/Belem,,Airports,,,,,,1,1
MVT,-17.6902,-149.376,French Polynesia,Mataiva,Windward Islands,French Polynesia,23424817,Pacific/Midway,,Airports,,,3936,3,,2,1
MVY,41.3895,-70.6112,Marthas Vineyard Airport,Vineyard Haven,Massachusetts,United States,12520822,America/New_York,,Airports,,,,,KMVY,7,2
MWA,37.7467,-89.0104,Williamson County Regional Airport,Marion,Illinois,United States,12522462,America/Chicago,,Airports,,,6502,471,KMWA,1,1
MWF,-15.1609,168.145,Vanuatu,Maewo,Penama,Vanuatu,23424907,Pacific/Efate,,Airports,,,2789,509,,2,1
